Alkmaar,amr001,58,1692690585,OV_FIETS,Yes
Schagen,sgn001,11,1692690585,OV_FIETS,Yes
Rotterdam Centraal,rtd001,11,1692690585,OV_FIETS,Yes
Tilburg West Universiteit,tbu001,5,1692690585,OV_FIETS,Yes
Gouda Goverwelle,gdg001,3,1692690585,OV_FIETS,Yes
Den Haag Laan van NOI,laa001,0,1692690585,OV_FIETS,Yes
"Delft, Fietsenstalling",dt002,73,1692690585,OV_FIETS,Yes
Uitgeest,utg001,3,1692690585,OV_FIETS,Yes
Den Helder,hdr002,0,1692690585,OV_FIETS,Yes
Alkmaar Noord,amrn002,33,1692690585,OV_FIETS,Yes
Nootdorp,gvc901,3,1692690585,OV_FIETS,Yes
Houten,htn001,33,1692690585,OV_FIETS,Yes
Steenwijk,swk002,7,1692690585,OV_FIETS,Yes
Hoogeveen,hgv003,4,1692690585,OV_FIETS,Yes
Zutphen,zp001,37,1692690585,OV_FIETS,Yes
Breda Centrum,Bd003,1,1692690585,OV_FIETS,Yes
Den Haag Mariahoeve,gvm001,1,1692690585,OV_FIETS,Yes
Venray,vry001,17,1692690585,OV_FIETS,Yes
Barneveld Noord,bnn001,1,1692690585,OV_FIETS,Yes
Zaltbommel,zbm002,9,1692690585,OV_FIETS,Yes
Schiedam,sdm001,4,1692690585,OV_FIETS,Yes
Zoetermeer Centrum West,ztm002,17,1692690585,OV_FIETS,Yes
Borne,bn001,5,1692690585,OV_FIETS,Yes
Zevenbergen,Zvb001,5,1692690585,OV_FIETS,Yes
Driehuis,drh001,6,1692690585,OV_FIETS,Yes
Helmond Brouwhuis,hmbh001,0,1692690585,OV_FIETS,Yes
Nijmegen Heyendaal,nmh001,0,1692690585,OV_FIETS,Yes
Barendrecht,brd002,12,1692690585,OV_FIETS,Yes
Rheden,rh001,4,1692690585,OV_FIETS,Yes
Den Haag Centraal Koningin Julianaplein,gvc021,23,1692690585,OV_FIETS,Yes
Breda Belcrum,bd002,69,1692690585,OV_FIETS,Yes
Amsterdam Centraal IJzijde,asd008,10,1692690585,OV_FIETS,Yes
