"description","locationCode","lat","lon","postalCode","houseNumber","city"
"Utrecht Terwijde","utt001","52.10017","5.04424","3451 ST","1","Vleuten"
"Eindhoven Noordzijde","ein001","51.443676","5.480101","5611 AD","2","Eindhoven"
"Brummen","bmn001","52.09104","6.14726","6971 BX",,"Brummen"
"Ermelo","eml001","52.30039","5.61434","3851 JB","46A","Ermelo"
"Ravenstein","Rvs001","51.79464","5.637462","5371 BB","122","Ravenstein"
"Utrecht Vaartsche Rijn Oosterkade","UTVR001","52.078023","5.122392","3523 CA","103","Utrecht"
"Bergen op Zoom","bgn001","51.49517","4.29575","4611 BK","2","Bergen op Zoom"
"Lochem","lc001","52.16652","6.42582","7241 CV","1","Lochem"
"Schagen","sgn001","52.78558","4.80506","1741 GX","20","Schagen"
"Oldenzaal","odz001","52.3064","6.93371","7573 AT","9","Oldenzaal"
"Cuijk","ck001","51.72659","5.87423","5431 CE","2","Cuijk"
"Goes","gs003","51.49874","3.88823","4461 HP","21","Goes"
"Vroomshoop","vhp001","52.45748","6.57211","7681 BA",,"Vroomshoop"
"Best","bet001","51.50841","5.38957","5684 AA","3","Best"
"Winterswijk","ww001","51.96775","6.71545","7101 GH","17","Winterswijk"
"Amsterdam Bijlmer ArenA","asb003","52.311914","4.948114","1102 BT","12","Amsterdam"
"Utrecht Centraal Jaarbeursplein","ut016","52.08895","5.10756","3521 AL","14","Utrecht"
"Zuidhorn","Zh001","53.248163","6.406382","9801 AJ","5","Zuidhorn"
"Soestdijk","sd001","52.18376","5.29967","3761 AJ","3","Soest"
"Utrecht Vaartsche Rijn Oosterkade","ut019","52.078023","5.122392","3523 CA","103","Utrecht"
"Utrecht Janskerkhof","ut018","52.093019","5.121088","3512 BN","23","Utrecht"
"Utrecht Vredenburg","ut006","52.09261","5.11462","3511","104","Utrecht"
"Harderwijk","hd001","52.3377","5.619034","3844 KR","14","Harderwijk"
"Zwijndrecht","zwd002","51.81608","4.64041","3331 LL","1A","Zwijndrecht"
"Hengelo","hgl002","52.26239","6.7936","7551 CN","1","Hengelo"
"Maarheeze","mz001","51.30583","5.63594","6026 RB","2","Maarheeze"
"Den Haag HS","gv001","52.069582","4.320696","2515 BV","29","'s-Gravenhage"
"Heerhugowaard","hwd003","52.66929","4.82352","1704 WD","9","Heerhugowaard"
"Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark","gerp002","53.20479","6.58617","9723 AK","2","Groningen"
"Deventer Boerhavelaan","dv003","52.2685","6.175444","7415 JA",,"Deventer"
"Uden","Ow002","51.66025","5.617562","5402 XA","1","Uden"
"Deventer","dv001","52.256995","6.161051","7411 HB","2","Deventer"
"Steenwijk","swk001","52.79051","6.11712","8331 GM","2","Steenwijk"
"Helmond Brandevoort","hmbv001","51.46274","5.60881","5708","135","Helmond"
"Den Helder Zuid","hdrz001","52.9321","4.76485","1785 HV","1","Den Helder"
"Leiden Centraal,Uitgang LUMC","ledn001","52.165578","4.48155","2333 CT","6","Leiden"
"Sneek","sk001","53.03254","5.65161","8601 GM","16","Sneek"
"Geldrop","Gp001","51.456343","5.787678","5664 AD","26","Geldrop"
"Oudenbosch","odb001","51.588055","4.533494","4731 GM","5","Oudenbosch"
"Anna Paulowna","ana001","52.86759","4.81198","1761 EB","21","Anna Paulowna"
"Horst Sevenum","hrt001","51.4276","6.0408","5963 AA","151","Sevenum"
"Amersfoort Schothorst","amfs001","52.1746","5.40462","3821 AB",,"Amersfoort"
"Roosendaal","rsd003","51.54078","4.46115","4702 VX","3B","Roosendaal"
"Roosendaal","rsd002","51.54078","4.46115","4702 VX","3B","Roosendaal"
"OV-ebike Arnhem Centrum","ah003","51.9834","5.90125","6811 KL","166","Arnhem"
"Gilze Rijen","gz001","51.584041","4.92483","5121 EA","1","Rijen"
"Emmen","emn001","52.78953","6.89916","7811 GC","14","Emmen"
"Halfweg Zwanenburg","hwzb001","52.38647","4.746886","1165 MT",,"Halfweg"
"Hoorn Kersenboogerd","hnk001","52.65339","5.08486","1628 PC","58-59","Hoorn"
"Hoorn","hn001","52.64469","5.05501","1621 HX","1","Hoorn"
"Rotterdam Kralingse Zoom","Rta003","51.921747","4.534107","3062 SM",,"Rotterdam"
"Rhenen","rhn001","51.957323","5.578028","3911 BK","1","Rhenen"
"Rijssen","rsn001","52.312883","6.523292","7461 AG",,"Rijssen"
"Venlo","vl001","51.365024","6.171608","5913 AA","1","Venlo"
"Ommen","omn001","52.509888","6.417246","7731 AX","35","Ommen"
"Culemborg","cl002","51.94704","5.22713","4101 NG","13","Culemborg"
"Culemborg","cl003","51.94704","5.22713","4101 NG","13","Culemborg"
"Groningen Noord","Gnn001","53.230098","6.557451","9716 EA","11","Groningen"
"Culemborg","cl001","51.94704","5.227","4101 NX","13","Culemborg"
"Voorburg","vb001","52.06676","4.35956",,,"Voorburg"
"Eindhoven Strijp-S","ehs001","51.447629","5.451376","5651GW",,"Eindhoven"
"Haarlem Spaarnwoude","hlms001","52.38213","4.670836","2031 CZ","4","Haarlem"
"Dordrecht","ddr001","51.80781","4.66785","3311 JV","1","Dordrecht"
"Soest Zuid","stz001","52.16521","5.30299","3768 ET","67","Soest"
"Haren","HRN002","53.175165","6.617819","9751 SX","1","Haren"
"Hollandse Rading OV-fiets Carrousel","hor001","52.17815","5.17915","3739 KT","2-10","Hollandsche Rading"
"Utrecht P+R Westraven","ut007","52.05745","5.10406","3526 LA","1bis","Utrecht"
"Maastricht Randwyck","mtr001","50.837552","5.718918","6229 GR","100","Maastricht"
"Amsterdam Muiderpoort","asdm001","52.3604","4.93093","1093 JW","1B","Amsterdam"
"Castricum","cas001","52.54554","4.65954","1901 AA","43","Castricum"
"Wolfheze","wf001","52.0057","5.79213","6874 BH","5","Wolfheze"
"Meerssen","mes001","50.88299","5.75139","6231 CR","26","Meerssen"
"Maassluis","mss001","51.9168","4.2534","3143 LA","1","Maassluis"
"Weesp","wp001","52.31266","5.04215","1382 AD","2A","Weesp"
"Weert","wt003","51.2493","5.70558","6001 CH","18","Weert"
"Vierlingsbeek","vlb001","51.592165","5.99734","5821 BL","9","Vierlingsbeek"
"Amsterdam Sloterdijk","ass001","52.38903","4.83707","1043 DT","109","Amsterdam"
"Gorinchem","gr001","51.83366","4.96788","4205 AA","15","Gorinchem"
"Rotterdam Alexander","rta001","51.952114","4.551931","3067GB","50","Rotterdam"
"Valkenburg","vk001","50.86873","5.833601","6301 EZ","10","Valkenburg"
"Almelo","aml002","52.35614","6.65732","7607 GD","1","Almelo"
"Bloemendaal","bll001","52.40441","4.6273","2061 HE","18","Bloemendaal"
"Etten-Leur","etn001","51.574939","4.636251","4872  XL","1","Etten-Leur"
"Almelo","aml001","52.35614","6.65732","7607 GD","1","Almelo"
"Heiloo","hlo001","52.600106","4.700891","1851 LN","106","Heiloo"
"Utrecht Mariaplaats","ut014","52.08987","5.11841","3511 LH","2","Utrecht"
"Purmerend Overwhere","pmo001","52.51127","4.96773","1442 VS","18","Purmerend"
"Doetinchem","dtc001","51.95865","6.29575","7005 AK","8","Doetinchem"
"Lelystad Centrum","lls002","52.50801","5.47328","8232 DL","10","Lelystad"
"Nijmegen Goffert","nmgo001","51.827333","5.822722","6534 BM","388","Nijmegen"
"Zandvoort Zilt-Bikes","zvt002","52.376024","4.528921","2042 KS","33","Zandvoort"
"Zwolle Hanzeland/Zuidzijde","zl002","52.50499","6.09106","8017 JZ","30","Zwolle"
"Holten","hon001","52.283962","6.421691","7451 AZ","1","Holten"
"Boskoop","bk001","52.076315","4.646843","2771 GB",,"Boskoop"
"Breda Prinsenbeek","bdpb001","51.606061","4.72136","4822",,"Breda"
"Zwolle","zl004","52.505809","6.090895","8011 CW","13A1","Zwolle"
"Baarn","brn002","52.20787","5.28219","3743 KM","68","Baarn"
"Nijmegen","nm001","51.842825","5.853375","6512 AB","7","Nijmegen"
"Bovenkarspel-Grootebroek","bkg001","52.695309","5.236411","1611 KP","18","Bovenkarspel"
"Dieren","dr001","52.04548","6.10312","6951 AA","27","Dieren"
"Zeist","db002","52.08909","5.24928",,,"Zeist"
"Driebergen-Zeist","db001","52.065057","5.259785","3972 KA","3","Driebergen-Zeist"
"Echt","ec001","51.099873","5.878368","6101 HK","9","Echt"
"Lelystad Centrum","lls003","52.50801","5.47328","8232 DL","10","Lelystad"
"Middelburg","mdb002","51.49517","3.61768","4337 PA","22","Middelburg"
"Raalte","rat001","52.39069","6.27817","8102 EB","1","Raalte"
"Dalfsen","dl001","52.49825","6.25946","7722 HA","4","Dalfsen"
"Rotterdam Slinge","rtd904","51.874121","4.4776","3086 EZ","763","Rotterdam"
"Boxmeer","Bmr001","51.64444","5.939563","5831 CR","12","Boxmeer"
"Pijnacker","rtd906","52.019488","4.437386","2641 EJ","1","Pijnacker"
"Veenendaal","vndc002","52.020273","5.548828","3904AB","25","Veenendaal"
"Nunspeet","Ns001","52.371034","5.783895","8071 AA","18","Nunspeet"
