description,locationCode,rentalBikes,fetchTime,open
Oss West,ow001,7,1688566571,Yes
Tilburg Zuid,tb003,11,1688566571,Yes
Groningen,gn001,491,1688566571,Yes
Groningen P+R Hoogkerk,gn002,,1667985514,Yes
Groningen P+R Kardinge,gn003,6,1667985514,Yes
Utrecht Lunetten,utl001,1,1688566571,Yes
Enschede,es002,25,1679582772,Yes
OV-fiets - Maastricht,mt001,135,1688566571,Yes
OV-ebike Maastricht,mt003,,1688566571,Yes
Putten,pt001,0,1688566571,Yes
Houten Castellum,htnc001,31,1688566571,Yes
Heerenveen,hr001,8,1668506290,Yes
Kampen,kpn002,29,1668679584,Yes
Veendam,Vdm001,1,1688566571,Yes
Didam,did001,5,1688566571,Yes
Gouda,gd001,123,1688566571,Yes
Heemstede-Aerdenhout,had002,24,1688566571,Yes
Rotterdam Fietspunt Wilhelminakade Prinsendam,Rtd003,7,1688566571,Yes
Rotterdam Fietspunt Marconiplein,Rtd004,7,1688566571,Yes
Enkhuizen,ekz001,15,1688566571,Unknown
Hellendoorn/Nijverdal OV-fiets Carrousel,nvd001,17,1688566571,Yes
Goor,go001,3,1688566571,Yes
Sleeuwijk Tol West,GR002 ,3,1688566571,Yes
Barneveld Centrum,bnc001,4,1688566571,Yes
Hoofddorp,hfd002,40,1688566571,Yes
Zoetermeer Oost,ztmo001,2,1688566571,Yes
Hoogeveen,hgv003,18,1688566571,Yes
Oisterwijk,Ot001,3,1688566571,Yes
Duivendrecht,dvd001,0,1688566571,Yes
Helmond 't Hout,hmh001,3,1688566571,Yes
Den Haag Centraal Koningin Julianaplein,gvc021,514,1688566571,Yes
Dronten,DRON001,4,1688566571,Yes
Heerenveen,hr002,18,1688566571,Yes
Utrecht Leidsche Rijn,utlr001,2,1688566571,Yes
Pijnacker Zuid,rtd907,1,1688566571,Yes
Sittard,std001,26,1678868445,Yes
Heerlen,hrl002,17,1688566571,Yes
Diemen,dmn001,3,1688566571,Yes
Boxtel - Kluis,btl004,2,1688566571,Yes
Voorburg,vb002,20,1688566571,Yes
Kampen,kpn003,23,1688566571,Yes
Meppel,mp002,21,1688566571,Yes
Hoogkarspel,hks001,4,1688566571,Yes
Westervoort,wtv001,1,1688566571,Yes
Bussum Zuid,bsmz001,0,1688566571,Yes
Amsterdam RAI,rai001,23,1688566571,Yes
Velp,vp001,1,1688566571,Yes
Leeuwarden,lw001,142,1688566571,Yes
Bunnik,bnk001,22,1688566571,Yes
Meppel,mp001,18,1679582772,Yes
Veenendaal-De klomp,klp001,13,1688566571,Yes
Amsterdam Amstel,asa001,103,1688566571,Yes
Geldermalsen,gdm001,3,1688566571,Yes
Weert,wt001,22,1680508453,Yes
Oss,o001,20,1677854436,Yes
Den Helder,hdr002,15,1688566571,Yes
Oss,o002,10,1688566571,Yes
Amsterdam Lelyplein,asdl001,2,1688566571,No
Otterlo,ed901,20,1688566571,Yes
Winsum,Wsm001,4,1688566571,Yes
Haren P+R Transferium,hrn001,7,1667985514,Yes
Zaandam,ZD002,31,1688566571,Yes
Ede-Wageningen Zuidzijde,ed001,118,1688566571,Yes
Tilburg Reeshof,tbr001,1,1688566571,Yes
OV-ebike Groningen,gn004,11,1688566571,Yes
Vleuten,vtn001,2,1688566571,Yes
Hilversum,hvs001,165,1688566571,Yes
Goes,gs002,24,1678295851,Yes
Duiven ,dvn001,13,1688566571,Yes
Terborg,tbg001,6,1688566571,Yes
Den Haag Centraal Stichthage,gvc001,129,1688566571,Yes
Varsseveld,vsv001,4,1688566571,Yes
Santpoort Zuid,sptz001,7,1688566571,Yes
Zevenaar,zv001,2,1688566571,Yes
Tilburg Noord,tb002,8,1688566571,Yes
Breukelen,bkl001,1,1688566571,Yes
Leiden de Vink,dvnk001,2,1688566571,Yes
Deurne,dn001,1,1688566571,Yes
Boskoop,bsk001,2,1688566571,Yes
Zoetermeer Driemanspolder,ztm003,20,1688566571,Yes
Landgraaf,lg001,4,1688566571,Yes
Heeze-Leende,hze001,8,1688566571,Yes
Olst,ost001,2,1688566571,Yes
